Date,Open,High,Low,Close
2017-06-07,155.020004,155.979996,154.479996,155.369995
2017-06-08,155.25,155.539993,154.399994,154.990005
2017-06-09,155.190002,155.190002,146.020004,148.979996
2017-06-12,145.740005,146.089996,142.509995,145.419998
2017-06-13,147.160004,147.449997,145.149994,146.589996
2017-06-14,147.5,147.5,143.839996,145.160004
2017-06-15,143.320007,144.479996,142.210007,144.289993
2017-06-16,143.779999,144.5,142.199997,142.270004
2017-06-19,143.660004,146.740005,143.660004,146.339996
2017-06-20,146.869995,146.869995,144.940002,145.009995
2017-06-21,145.520004,146.070007,144.610001,145.869995
2017-06-22,145.770004,146.699997,145.119995,145.630005
2017-06-23,145.130005,147.160004,145.110001,146.279999
2017-06-26,147.169998,148.279999,145.380005,145.820007
2017-06-27,145.009995,146.160004,143.619995,143.729996
2017-06-28,144.490005,146.110001,143.160004,145.830002
2017-06-29,144.710007,145.130005,142.279999,143.679993
2017-06-30,144.449997,144.960007,143.779999,144.020004
2017-07-03,144.880005,145.300003,143.100006,143.5
2017-07-05,143.690002,144.789993,142.720001,144.089996
2017-07-06,143.020004,143.5,142.410004,142.729996
